f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,label
0.6596438,0.7850311,2.2102253e-07,0.68817335,0.7217006,0.005483851,0.6937508,0.66399306,0.0039644684,0.6845708,0.62000275,0.0018805482,0.6605898,0.61015797,-0.0022616687,0.64274585,0.61483747,-0.019193519,0.60461754,0.5380721,-0.030568179,0.5818922,0.49510854,-0.036434814,0.5623208,0.46328855,-0.039498035,0.61421674,0.63241345,-0.028054856,0.572268,0.5412212,-0.039641704,0.5452144,0.4899562,-0.04552071,0.5236919,0.45421556,-0.049273536,0.58771074,0.65846,-0.034814816,0.5529033,0.5694628,-0.043563243,0.5306322,0.51952195,-0.049126804,0.5141441,0.4830197,-0.052820887,0.5642207,0.69090927,-0.040124726,0.5379423,0.6205326,-0.048300307,0.5232828,0.57959205,-0.05070429,0.5128543,0.5449685,-0.051410276,1.0,Thanks
0.65965384,0.78432536,2.2462085e-07,0.68849486,0.7219235,0.00459262,0.69422644,0.6640686,0.0025993371,0.6847656,0.6203093,0.00017142293,0.66092753,0.61106545,-0.0042976188,0.6427876,0.61429536,-0.020083591,0.6045009,0.53714514,-0.03167177,0.5815439,0.49403352,-0.037598938,0.5618772,0.46215177,-0.0406977,0.6143183,0.63181376,-0.028649429,0.5717697,0.5407701,-0.040228013,0.5441864,0.48975492,-0.045954876,0.5222974,0.45430166,-0.049601063,0.58788943,0.65791,-0.03522604,0.552412,0.5691006,-0.04412598,0.5300375,0.5195405,-0.049726896,0.51350445,0.48355746,-0.05342244,0.56439304,0.6904501,-0.040439315,0.53823423,0.6202728,-0.048961733,0.5232082,0.5789279,-0.05176942,0.5122825,0.5438313,-0.05274281,1.0,Thanks
0.659465,0.7809273,2.446734e-07,0.6889484,0.71928924,0.0046453597,0.69493216,0.6615794,0.0027947372,0.6836611,0.61903703,0.0007339991,0.6589341,0.6079703,-0.0032229952,0.6426604,0.61127746,-0.020173362,0.6037007,0.53271073,-0.030954948,0.5806826,0.490371,-0.035999782,0.561029,0.45917547,-0.038315915,0.6138044,0.6299548,-0.028238446,0.57087964,0.5368614,-0.0385869,0.54350716,0.48597765,-0.04317283,0.5222366,0.45077264,-0.045980044,0.58725685,0.6566834,-0.034270085,0.5515665,0.5654013,-0.041992325,0.52945405,0.5156628,-0.04666816,0.5133493,0.47970042,-0.049747396,0.56400824,0.6900592,-0.038897,0.537524,0.6188462,-0.046138115,0.52298105,0.57815593,-0.047716666,0.51233727,0.5437955,-0.04778873,1.0,Thanks
0.66008866,0.781075,2.4073108e-07,0.68964964,0.71865666,0.0036966961,0.69617265,0.66071105,0.0013332576,0.68364763,0.6189493,-0.0013711535,0.6582992,0.60922617,-0.005906541,0.6422422,0.6097822,-0.018529058,0.60330516,0.5335942,-0.028986396,0.58076954,0.49233213,-0.034301404,0.56136113,0.46167442,-0.036989372,0.61266243,0.62770367,-0.026537374,0.57004184,0.5371515,-0.036665108,0.5430525,0.48748863,-0.041700352,0.52201366,0.45324823,-0.044876494,0.58616513,0.65438163,-0.03270838,0.55076873,0.5658685,-0.040264286,0.529238,0.51752424,-0.044988144,0.51349795,0.48278058,-0.048099644,0.56338894,0.6879786,-0.037666783,0.53666246,0.6177063,-0.04418884,0.52220774,0.57767427,-0.04526847,0.51186645,0.54403293,-0.045065492,1.0,Thanks
0.6603905,0.7821868,2.2306598e-07,0.68930715,0.7188717,0.0051524453,0.6950951,0.66191095,0.0034817914,0.68332225,0.6190044,0.0012424395,0.6584362,0.60687333,-0.0029516038,0.64141726,0.61101174,-0.017102478,0.60225475,0.53481436,-0.026934506,0.57970434,0.4936116,-0.031913523,0.5601736,0.46271458,-0.034472864,0.611781,0.62935024,-0.025569769,0.56942284,0.5394967,-0.03561477,0.5426629,0.4902625,-0.040760513,0.5213786,0.45576447,-0.044004627,0.5856573,0.6563123,-0.032039877,0.5507711,0.5678206,-0.03957724,0.5295307,0.5194161,-0.044284906,0.51363784,0.48442662,-0.04734601,0.5638932,0.68979686,-0.03714045,0.5366614,0.61845326,-0.04354084,0.5223997,0.5781498,-0.044355825,0.5122754,0.5446255,-0.043932326,1.0,Thanks
0.6601822,0.78235096,2.4291796e-07,0.6893025,0.71918476,0.0047201086,0.69506794,0.66213274,0.0025578765,0.6834325,0.61907387,-5.5756693e-05,0.6585614,0.6069914,-0.004558001,0.6416915,0.61175466,-0.018314838,0.6015483,0.5345613,-0.028411658,0.5789657,0.49314338,-0.0332862,0.55963963,0.46218282,-0.035615046,0.61200184,0.6305622,-0.026575152,0.5690782,0.5396803,-0.03667295,0.5427177,0.48988825,-0.041548256,0.5222354,0.45511234,-0.044524994,0.5857097,0.6577192,-0.032834522,0.55068773,0.56877303,-0.040203705,0.5295237,0.51966023,-0.044613242,0.51414764,0.4841876,-0.047439374,0.5638977,0.6909862,-0.037760817,0.5364552,0.6191122,-0.04375278,0.52221024,0.5788164,-0.044121787,0.5122017,0.5454334,-0.04336303,1.0,Thanks
0.660991,0.7801491,2.399491e-07,0.6894696,0.71862316,0.004771216,0.69502586,0.6622535,0.0031181003,0.68378687,0.6188554,0.0010395433,0.6592785,0.6047749,-0.002670059,0.64242095,0.61054736,-0.016433684,0.6026039,0.5347248,-0.025956849,0.5797629,0.49336693,-0.030692507,0.5600842,0.46230972,-0.032938436,0.6128428,0.62738335,-0.024260126,0.57070076,0.53742963,-0.033664815,0.54371893,0.48767835,-0.038388386,0.52232873,0.45278147,-0.041277163,0.58598214,0.65306467,-0.030174982,0.5517707,0.56625044,-0.036749024,0.53083515,0.51753825,-0.040952828,0.51548684,0.48180997,-0.04376478,0.5631,0.68545735,-0.03482088,0.5365123,0.6164812,-0.039920304,0.52246076,0.577435,-0.03992412,0.5125638,0.5445945,-0.039012656,1.0,Thanks
0.66136354,0.78001744,2.4387836e-07,0.6896133,0.7182333,0.0039256676,0.69546473,0.6612325,0.0015909476,0.6838185,0.6183444,-0.001167801,0.6587155,0.6052358,-0.005627794,0.6423379,0.60986656,-0.017462695,0.6024511,0.53396684,-0.027710646,0.5794454,0.49249277,-0.032993853,0.5596084,0.4612916,-0.035641097,0.6128156,0.627171,-0.025390277,0.5708042,0.53767306,-0.03537104,0.54395896,0.48794806,-0.040599853,0.5227184,0.4531954,-0.043896157,0.58615947,0.6531825,-0.031513352,0.55168587,0.5668046,-0.038642507,0.5305935,0.5180191,-0.043281477,0.51512384,0.4822272,-0.046422374,0.5634222,0.6856659,-0.0364633,0.5367559,0.6167143,-0.04214092,0.52259433,0.5773381,-0.042608306,0.51259553,0.5442082,-0.042044558,1.0,Thanks
0.6592115,0.77949536,2.4294502e-07,0.68928045,0.71712774,0.0039474075,0.6964265,0.6586434,0.002362986,0.68396354,0.6158715,0.0004895049,0.6588711,0.6060744,-0.0030615437,0.64103097,0.60749733,-0.016016416,0.603066,0.5326596,-0.025411028,0.5807977,0.4920324,-0.030525235,0.5612647,0.46147785,-0.03325909,0.61150634,0.62509805,-0.023615133,0.57072234,0.53606254,-0.033123884,0.5443964,0.48626322,-0.038623188,0.52313197,0.4510066,-0.042205337,0.58526915,0.6511455,-0.029404448,0.5514175,0.56497365,-0.036437534,0.5306175,0.5161703,-0.041734178,0.51516837,0.4802679,-0.045276705,0.5632537,0.6834872,-0.033983994,0.5366672,0.6143109,-0.039516717,0.5227988,0.57497126,-0.040318158,0.51317465,0.54171264,-0.04005384,1.0,Thanks
0.6597719,0.77904665,2.3097454e-07,0.68941355,0.716776,0.004278308,0.69676113,0.6584557,0.0029187163,0.6846787,0.616181,0.0011618799,0.65982115,0.60729706,-0.0023912094,0.64182144,0.60649705,-0.015454918,0.6045321,0.5323256,-0.024768272,0.5823747,0.49186206,-0.029965287,0.5627952,0.4612986,-0.03288119,0.6120697,0.62382674,-0.023391908,0.57142913,0.5355204,-0.032972064,0.54506284,0.48610812,-0.038549628,0.52375835,0.45110035,-0.042210598,0.585647,0.6499314,-0.029533671,0.5515589,0.56391776,-0.036896482,0.5303631,0.51512617,-0.042500366,0.5144179,0.47918195,-0.04624222,0.563378,0.6824252,-0.034416385,0.5367415,0.61307275,-0.04061428,0.5224292,0.5736469,-0.04190462,0.512233,0.5403308,-0.041950967,1.0,Thanks
