f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,label
0.3820498,0.7058525,3.7185524e-07,0.35923526,0.6271828,-0.008802311,0.3595655,0.55701387,-0.018411234,0.3822969,0.5154881,-0.026218398,0.410408,0.5195539,-0.034519155,0.43885082,0.54412574,-0.02646596,0.49490982,0.4886322,-0.038655914,0.52822626,0.46052107,-0.04547856,0.55540127,0.44135642,-0.048990075,0.46897724,0.5785564,-0.028615909,0.5274535,0.5101442,-0.036720045,0.561954,0.47161672,-0.040402554,0.5887594,0.44409078,-0.042563405,0.48889655,0.6144981,-0.030449625,0.5368761,0.550565,-0.036232363,0.5691557,0.5123787,-0.0402938,0.59314096,0.48577297,-0.042830735,0.4990018,0.6493218,-0.032744758,0.5365131,0.6017321,-0.037513666,0.5596123,0.57150805,-0.037892126,0.5791114,0.54818434,-0.036848333,0.0,Thanks
0.3809669,0.7062067,3.9228888e-07,0.35949346,0.62533367,-0.010216569,0.35960957,0.5557075,-0.021287642,0.3795998,0.5168077,-0.03076394,0.40578178,0.5203258,-0.040777396,0.43922922,0.544708,-0.027928235,0.49437213,0.4895412,-0.041980393,0.52767193,0.46068692,-0.05041758,0.5550177,0.44051355,-0.05498038,0.4683893,0.57889056,-0.03082298,0.52679825,0.5112667,-0.04059736,0.5616828,0.4718093,-0.045864575,0.5889511,0.44327304,-0.049228195,0.4876521,0.6143301,-0.033685308,0.536221,0.55226207,-0.040822007,0.5687704,0.5144617,-0.045827225,0.5927684,0.48823252,-0.0489848,0.49787584,0.64875895,-0.037226275,0.5362,0.60236645,-0.042908013,0.55955374,0.5724215,-0.04363364,0.5789593,0.54926395,-0.04288665,0.0,Thanks
0.38104936,0.7055693,3.768137e-07,0.35880232,0.6265776,-0.009461048,0.35893014,0.5572189,-0.019683216,0.3785798,0.51697266,-0.028286558,0.40424395,0.51773727,-0.037428975,0.43965802,0.5427137,-0.027012438,0.49540493,0.4876531,-0.04025363,0.5287485,0.45920038,-0.048231345,0.55572766,0.43952078,-0.052489314,0.46853507,0.57647496,-0.02959504,0.52667826,0.5091126,-0.038532272,0.5612473,0.4702784,-0.043485697,0.5882951,0.44245285,-0.04671435,0.48781222,0.61189413,-0.032036114,0.5363505,0.5496338,-0.038647834,0.56866264,0.5119295,-0.043678235,0.5923643,0.48603824,-0.04700854,0.49805737,0.6464461,-0.035041053,0.5356519,0.6001458,-0.040815458,0.5587086,0.5700779,-0.04187973,0.5779609,0.5466871,-0.041353047,0.0,Thanks
0.38078922,0.7054774,3.7987172e-07,0.35847303,0.6262767,-0.010528522,0.35808596,0.5570555,-0.021723319,0.37794358,0.5162325,-0.03122654,0.4048289,0.51750463,-0.041257087,0.43915105,0.54328865,-0.02812886,0.49411243,0.48792452,-0.042395007,0.52724385,0.45951682,-0.051147595,0.55452484,0.43953627,-0.05592485,0.4680029,0.5776489,-0.030701187,0.5259696,0.50948656,-0.040583268,0.56028235,0.47032744,-0.045983516,0.5873157,0.44169402,-0.04945066,0.4871636,0.6133616,-0.033279352,0.5353993,0.5502204,-0.04070681,0.5678055,0.51209116,-0.04566032,0.59193903,0.48549494,-0.048720088,0.4973725,0.64788157,-0.036532484,0.5353766,0.5993357,-0.04264535,0.5586667,0.5689672,-0.043470275,0.5784625,0.5454572,-0.04269177,0.0,Thanks
0.38165885,0.7029717,3.7922706e-07,0.35906866,0.62353873,-0.009557961,0.35887685,0.55395794,-0.019942798,0.379542,0.514436,-0.028761376,0.40675485,0.51780325,-0.03815688,0.43903854,0.54059017,-0.026878964,0.49468514,0.48582545,-0.040018853,0.5278469,0.4580412,-0.047990344,0.55499524,0.43886197,-0.052343357,0.46831197,0.5746565,-0.029527817,0.5263467,0.50700635,-0.03830434,0.5606737,0.4680835,-0.0432151,0.5876733,0.43980956,-0.046480447,0.48789054,0.61037874,-0.03205064,0.53617394,0.54684216,-0.038513433,0.5680781,0.5081019,-0.04347277,0.5917759,0.48094964,-0.04681879,0.4982143,0.64524037,-0.035151377,0.53585106,0.5976574,-0.040763993,0.5589614,0.56724,-0.0416799,0.578545,0.5435169,-0.041106857,0.0,Thanks
0.38126305,0.70352626,3.851796e-07,0.35927558,0.6232801,-0.0097876545,0.35957333,0.55281234,-0.02047887,0.38098884,0.51471996,-0.029540326,0.4088437,0.5201602,-0.039221395,0.4393639,0.5401771,-0.027869733,0.49480492,0.4844723,-0.041234426,0.52804565,0.4561318,-0.049288534,0.5551501,0.43609887,-0.05376416,0.46845195,0.5744623,-0.030597929,0.5264564,0.50586325,-0.03990668,0.5608501,0.4667119,-0.045078836,0.5877829,0.43802264,-0.048452135,0.48799986,0.61013144,-0.033150002,0.53594935,0.5460937,-0.039995898,0.56802064,0.50719285,-0.04525345,0.59175414,0.47990677,-0.04874223,0.49836284,0.6448306,-0.036272384,0.5359945,0.59637445,-0.042302012,0.55891204,0.5658409,-0.04347402,0.5782362,0.5421159,-0.04303877,0.0,Thanks
0.37993222,0.70378286,3.977171e-07,0.3584746,0.6233093,-0.011096318,0.3589767,0.55341387,-0.023143943,0.3793448,0.51418066,-0.03351762,0.4066487,0.51742584,-0.0444446,0.43706068,0.54159623,-0.030342218,0.49300677,0.4839478,-0.04539409,0.526507,0.45438215,-0.054317728,0.5539879,0.43385822,-0.05914569,0.46603432,0.5757134,-0.03305711,0.52486795,0.5056246,-0.043410767,0.56007814,0.46561357,-0.048890844,0.58782667,0.43714896,-0.052469634,0.48581386,0.611209,-0.035757743,0.53523815,0.5462029,-0.04337202,0.56799597,0.5070876,-0.048616566,0.59246033,0.4801291,-0.052066118,0.49700284,0.6458914,-0.039186005,0.53515434,0.59712195,-0.045659546,0.5581962,0.5658074,-0.046976715,0.57766396,0.541241,-0.04665564,0.0,Thanks
0.3804967,0.7010362,3.920105e-07,0.35821688,0.6212295,-0.0114138145,0.35875377,0.5520006,-0.023038095,0.38025737,0.51215214,-0.03279185,0.4086901,0.51575404,-0.043050308,0.4371876,0.54060656,-0.029728921,0.4932106,0.48322627,-0.044081867,0.5265455,0.4538175,-0.052570164,0.5536536,0.43338418,-0.05716979,0.46652326,0.57436186,-0.031732183,0.5250154,0.5041341,-0.04138986,0.5599287,0.463896,-0.04649559,0.58718574,0.43509912,-0.049861707,0.48649734,0.60967714,-0.03373215,0.5348495,0.5446685,-0.04076268,0.56721294,0.50515753,-0.04591048,0.591473,0.47758746,-0.049412973,0.49756405,0.6439707,-0.036469534,0.5347853,0.59575605,-0.042697437,0.5574659,0.5645031,-0.044113997,0.5768223,0.53990555,-0.04390356,0.0,Thanks
0.3792512,0.7001269,3.8697638e-07,0.35781527,0.62170696,-0.009947145,0.35800892,0.5524443,-0.021320844,0.37847102,0.5120842,-0.031350225,0.40613577,0.51478267,-0.04199397,0.43623883,0.53683865,-0.02770514,0.4911262,0.4802212,-0.04263363,0.52464056,0.4511235,-0.05206551,0.55248255,0.43086934,-0.05735413,0.46503526,0.5705956,-0.031005057,0.5233132,0.5019698,-0.040920574,0.55876744,0.4617433,-0.046859227,0.5872196,0.4322881,-0.050926708,0.4847854,0.6067592,-0.03433238,0.5337304,0.5423892,-0.041743636,0.5666239,0.50275403,-0.04734091,0.5916819,0.4748682,-0.05113627,0.49573871,0.6425929,-0.038323674,0.5337344,0.59414744,-0.044650286,0.5566756,0.56291646,-0.046033613,0.57648873,0.53815216,-0.045842603,0.0,Thanks
0.3789708,0.6997504,3.988288e-07,0.35762608,0.6200227,-0.010603299,0.357907,0.5506277,-0.022515317,0.37887132,0.5112224,-0.032797866,0.40741986,0.51564735,-0.043618195,0.43467736,0.53696793,-0.030315315,0.491172,0.47932696,-0.045260742,0.52479804,0.45003143,-0.054060448,0.5522135,0.42980313,-0.05874703,0.4636483,0.5708142,-0.033047747,0.5226764,0.50053996,-0.04307109,0.5578836,0.46059126,-0.04814773,0.5856124,0.43224663,-0.051441416,0.48389006,0.60660684,-0.035671182,0.5332447,0.54113597,-0.042791106,0.5659553,0.5016105,-0.04757808,0.5904325,0.47462258,-0.05075619,0.4954289,0.6418646,-0.038979586,0.5336393,0.59222543,-0.044851374,0.5563389,0.56104046,-0.045609627,0.575508,0.5368813,-0.044895016,0.0,Thanks
0.3787168,0.6983807,3.9448955e-07,0.35787466,0.61997455,-0.010409429,0.35769147,0.55132544,-0.02222143,0.3772842,0.51028264,-0.032446448,0.4047752,0.51256883,-0.043310057,0.43472165,0.5373076,-0.030481761,0.4901571,0.47874272,-0.045868948,0.5235591,0.4487366,-0.05497745,0.55094826,0.42814672,-0.0597779,0.46284723,0.570033,-0.03329297,0.5218564,0.49973544,-0.043585375,0.55709326,0.45958823,-0.04860458,0.5848521,0.43128568,-0.051775765,0.482543,0.60562545,-0.036024038,0.5325107,0.54005075,-0.04337023,0.5653692,0.5004867,-0.04809777,0.59010917,0.47339612,-0.051147185,0.4937323,0.6417891,-0.039435457,0.53228223,0.59271693,-0.045396175,0.5550859,0.56168187,-0.04617087,0.5743632,0.53762823,-0.04543989,0.0,Thanks
0.3787899,0.69659925,3.8826064e-07,0.3572805,0.61831075,-0.009790999,0.3573485,0.5494257,-0.020970274,0.3774587,0.50983644,-0.030677902,0.4050222,0.5150962,-0.041021444,0.4348248,0.53400755,-0.02826032,0.48980713,0.47669327,-0.042583212,0.52302665,0.4471684,-0.051300976,0.5502007,0.4268989,-0.056065526,0.46351317,0.5668753,-0.031180613,0.5217817,0.49736798,-0.04049938,0.55669636,0.45765272,-0.045376692,0.5840758,0.42953962,-0.048620943,0.4835086,0.60256135,-0.03402305,0.53246975,0.53778625,-0.040523797,0.56470025,0.49896288,-0.045180608,0.5889034,0.47236228,-0.048352618,0.49471998,0.63854146,-0.037535492,0.5326051,0.5895171,-0.04296169,0.55503625,0.55850875,-0.0436538,0.57405055,0.5344006,-0.04298645,0.0,Thanks
